Date,,,State,Deaths_White,Deaths_Black
3/7/2021,,,NY,17007,9812
3/3/2021,,,NY,16855,9714
2/28/2021,,,NY,16920,9448
2/24/2021,,,NY,16709,9352
2/21/2021,,,NY,16562,9283
2/17/2021,,,NY,16297,9202
2/14/2021,,,NY,16134,9149
2/10/2021,,,NY,15843,9039
2/7/2021,,,NY,15631,8968
2/3/2021,,,NY,15272,8856
1/31/2021,,,NY,15049,8817
1/27/2021,,,NY,14707,8725
1/24/2021,,,NY,14446,8664
1/20/2021,,,NY,14061,8587
1/17/2021,,,NY,13763,8540
1/13/2021,,,NY,13374,8453
1/10/2021,,,NY,13125,8393
1/6/2021,,,NY,12730,8320
1/3/2021,,,NY,12566,8289
